,앱이름,회사명,카테고리
1,질병관리청 COOV(코로나19 전자예방접종증명서),질병관리본부,Medical (Applications)
2,Time Princess: Dress Up,IGG,Games
3,Karrot - Buy & sell locally,Danggeun Market,Social Networking (Applications)
4,배달의민족,Woowa Brothers,Food and Drink (Applications)
5,Coupang Eats,Coupang,Food and Drink (Applications)
6,TikTok ティックトック,TikTok Pte Ltd,Entertainment (Applications)
7,ZOOM Cloud Meetings,Zoom Video Communications,Business (Applications)
8,KakaoTalk,Kakao,Social Networking (Applications)
9,Instagram,Instagram,Photo and Video (Applications)
10,Kakao T,Kakao Mobility,Travel (Applications)
11,네이버 - NAVER,NAVER,Reference (Applications)
12,청약홈,Korea Appraisal Board,Finance (Applications)
13,쿠팡 - Coupang,Coupang,Shopping (Applications)
14,티빙(tving),CJ ENM,Entertainment (Applications)
15,Judgement Day: Heaven or Hell,Matchingham Games,Games
16,야놀자,Yanolja,Travel (Applications)
17,"YouTube: Watch, Listen, Stream",Google,Photo and Video (Applications)
18,Paper Fold,Good Job Games,Games
19,Netflix,Netflix,Entertainment (Applications)
20,"NAVER Map, Navigation",NAVER,Navigation (Applications)
21,카카오뱅크,Kakao Bank,Finance (Applications)
22,Google Chrome,Google,Utilities (Applications)
23,"todo mate - widget, reminder",Yoon Sik Kang,Productivity (Applications)
24,자가격리자 안전보호,Ministry of the Interior and Safety,Lifestyle (Applications)
25,다방 - 대한민국 대표 부동산 앱,Station3,Lifestyle (Applications)
26,오늘의집 - No.1 인테리어 필수앱,Bucketplace,Shopping (Applications)
27,IG Views: Unfollowers tracker,없음,Utilities (Applications)
28,"여기어때 - 호텔, 모텔, 펜션 최저가 예약!",GC Company,Travel (Applications)
29,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Hero Korea,Food and Drink (Applications)
30,Fidget Trading 3D: Fidget Toys,Maglab Turkey,Games
31,Count Masters: Crowd Runner 3D,Tapinator,Games
32,KakaoMap - Korea No.1 Map,Daum,Navigation (Applications)
33,SNOW - Beauty & makeup camera,"SNOW, Inc.",Photo and Video (Applications)
34,Rummikub,Kinkajoo,Games
35,Facebook,Facebook,Social Networking (Applications)
36,BAND - App for all groups,NAVER,Social Networking (Applications)
37,정부24(구 민원24),Ministry of the Interior and Safety,Lifestyle (Applications)
38,카카오페이,Kakao,Finance (Applications)
39,제주안심코드,제주특별자치도,Health and Fitness (Applications)
40,쿠팡플레이,Coupang,Entertainment (Applications)
41,브랜디 – 하루배송,Brandi,Shopping (Applications)
42,KB증권 M-able(계좌개설겸용),KB Securities,Finance (Applications)
43,ISP/페이북,VP Inc,Finance (Applications)
44,네이버 웹툰 - Naver Webtoon,NAVER,Entertainment (Applications)
45,스타벅스,Starbucks Korea,Food and Drink (Applications)
46,교촌치킨,Kyochon,Food and Drink (Applications)
47,왓챠 - WATCHA,Watcha,Entertainment (Applications)
48,Google,Google,Utilities (Applications)
49,Snapchat,Snap,Photo and Video (Applications)
50,온라인 패션 스토어 무신사,Musinsa,Shopping (Applications)
51,Messenger,Facebook,Social Networking (Applications)
52,Infinite Stairs,NFLY STUDIO,Games
53,에이블리 - 2천만의 AI 쇼핑메이트,PaletteCo,Shopping (Applications)
54,멜론(Melon),Kakao M,Music (Applications)
55,The건강보험,National Health Insurance Corporation,Medical (Applications)
56,토스,Viva Republica,Finance (Applications)
57,Gmail - Email by Google,Google,Productivity (Applications)
58,TMAP - 내비게이션 / 지도,TMAP MOBILITY,Navigation (Applications)
59,GSSHOP,GS Retail,Shopping (Applications)
60,직방 - No.1 부동산 앱,Channelbreeze,Lifestyle (Applications)
61,TheDayBefore (days countdown),iBill,Lifestyle (Applications)
62,PUBG MOBILE,PUBG Corporation,Games
63,KartRider Rush+,NEXON,Games
64,테이블링,밀랑,Food and Drink (Applications)
65,쇼아 - 쇼핑몰 모음앱,없음,Shopping (Applications)
66,마켓컬리,Kurly,Food and Drink (Applications)
67,wavve(웨이브),Wavve,Entertainment (Applications)
68,번개장터 - 취향을 잇는 거래,Quicket,Shopping (Applications)
69,SODA - Natural Beauty Camera,"SNOW, Inc.",Photo and Video (Applications)
70,Voilà AI Artist Cartoon Photo,Wemagine.ai,Photo and Video (Applications)
71,YouTube Music,Google,Music (Applications)
72,Sumone,sandfox,Lifestyle (Applications)
73,알바몬 - 알바 채용 전문,Jobkorea,Business (Applications)
74,올리브영,CJ Olive Young,Lifestyle (Applications)
75,Trading Master 3D - Fidget Pop,Panteon,Games
76,Naver Papago - AI Translator,NAVER,Reference (Applications)
77,NH스마트뱅킹,Nonghyup,Finance (Applications)
78,Twitter,Twitter,News (Applications)
79,KB스타뱅킹,KB Bank,Finance (Applications)
80,InBody,없음,Health and Fitness (Applications)
81,Nike Run Club,Nike,Health and Fitness (Applications)
82,네이버 블로그 - Naver Blog,NAVER,Social Networking (Applications)
83,하나원큐프로 - 하나금융투자(비대면계좌개설 포함),Hana Financial Investment,Finance (Applications)
84,"Zenly - Your map, your people",Zenly,Social Networking (Applications)
85,코레일톡4,KORAIL,Travel (Applications)
86,투썸하트,A TWOSOME PLACE,Lifestyle (Applications)
87,Airbnb,Airbnb,Travel (Applications)
88,발란 - 참 쉬운 럭셔리 쇼핑 앱,BALAAN,Shopping (Applications)
89,KREAM - 한정판 거래의 FLEX,KREAM Corporation,Shopping (Applications)
90,Pinterest,Pinterest,Lifestyle (Applications)
91,클로바노트 - AI 음성기록,NAVER,Productivity (Applications)
92,맘스터치,없음,Food and Drink (Applications)
93,Clockology,,Graphics & Design (Applications)
94,해피오더,SPC Group,Lifestyle (Applications)
95,Liar Game,DongUk Kim,Games
96,알바천국,Mediawill,Business (Applications)
97,하나원큐 - 하나은행 스마트폰 뱅킹,KEB Hana Bank,Finance (Applications)
98,ZEPETO,"SNOW, Inc.",Social Networking (Applications)
99,NAVER MYBOX,NAVER,Utilities (Applications)
100,Going Balls,Supersonic,Games
